atr_period,mult,macd_fast,macd_slow,macd_sig,vol_min,sharpe,ann_return,total_return,max_dd,calmar,n_trades,win_rate,avg_trade,in_market,param_label
7,2.0,12,21,7,1.0,4.894164633673905,17.034925506887213,51.984153724703525,-0.12134302282561231,140.38652664330684,44,0.4772727272727273,3.591231324865221,19.29474384564205,"ST(ATR7/x2.0)+MACD(12,21,7)/V1.0"
7,2.0,12,26,7,0.0,4.888018492346743,20.719977839164947,67.38751839566096,-0.1542655769389056,134.31368326176073,61,0.4262295081967213,1.3096754489262046,27.91084497671324,"ST(ATR7/x2.0)+MACD(12,26,7)/V0.0"
14,1.5,8,21,7,1.0,4.884578381959593,6.698178110429974,15.46867031446515,-0.0975541871064256,68.66110321971803,44,0.38636363636363635,0.48053954736705223,13.972055888223553,"ST(ATR14/x1.5)+MACD(8,21,7)/V1.0"
7,2.0,8,21,7,0.0,4.878164951715901,18.758646593324347,59.05647996710101,-0.12134302282561234,154.59188469602628,64,0.421875,0.9153723701323754,21.457085828343313,"ST(ATR7/x2.0)+MACD(8,21,7)/V0.0"
10,2.0,8,21,9,0.0,4.866484009491512,21.540519790920825,70.95848192376636,-0.15919215885282528,135.31143710938204,60,0.4166666666666667,1.5465930819820073,24.717232202262142,"ST(ATR10/x2.0)+MACD(8,21,9)/V0.0"
14,2.0,12,26,7,0.0,4.860641285594839,21.577232519064363,71.1194023973095,-0.18942003063366852,113.91209497159225,56,0.42857142857142855,1.6119458093640175,26.48037258815702,"ST(ATR14/x2.0)+MACD(12,26,7)/V0.0"
14,1.5,8,26,7,1.0,4.858471119462604,7.131089311059387,16.753036345239842,-0.0975541871064256,73.09875180733974,44,0.36363636363636365,0.4296824673908102,15.13639387890885,"ST(ATR14/x1.5)+MACD(8,26,7)/V1.0"
10,2.0,12,26,7,0.0,4.833316905219402,22.625423332195375,75.75463318043202,-0.18349128058208986,123.3051688364738,60,0.4166666666666667,1.3492383511762363,28.47638057218895,"ST(ATR10/x2.0)+MACD(12,26,7)/V0.0"
10,2.0,12,21,7,1.0,4.82784010359728,15.62135447491622,46.368546736316276,-0.13374151256801,116.8025856367706,44,0.45454545454545453,2.9237791179305135,18.928809048569526,"ST(ATR10/x2.0)+MACD(12,21,7)/V1.0"
10,2.0,8,26,9,1.0,4.82784010359728,15.62135447491622,46.368546736316276,-0.13374151256801,116.8025856367706,44,0.45454545454545453,2.9237791179305135,18.928809048569526,"ST(ATR10/x2.0)+MACD(8,26,9)/V1.0"
7,1.5,12,21,9,1.0,4.825577434731332,14.867897180282009,43.44635870507534,-0.09755418710642591,152.40655087476668,38,0.4473684210526316,3.228977468927467,16.79973386560213,"ST(ATR7/x1.5)+MACD(12,21,9)/V1.0"
7,1.5,12,21,7,1.0,4.813158066991454,15.12727184162911,44.44660112645527,-0.09781260719280196,154.6556448680608,41,0.4634146341463415,2.786308147790282,16.400532268795743,"ST(ATR7/x1.5)+MACD(12,21,7)/V1.0"
14,1.5,12,26,7,1.0,4.8119103315507905,6.7777877512115285,15.702885591231588,-0.0975541871064256,69.47715882063964,40,0.425,0.8523619768671349,15.13639387890885,"ST(ATR14/x1.5)+MACD(12,26,7)/V1.0"
7,2.0,8,26,7,0.0,4.768602420100557,17.319665611719778,53.13574010615118,-0.12134302282561202,142.73309835548366,62,0.41935483870967744,0.9746893573290952,23.186959414504322,"ST(ATR7/x2.0)+MACD(8,26,7)/V0.0"
7,2.0,12,21,9,1.0,4.748678423342811,17.077489787300323,52.155870460928504,-0.12134302282561205,140.73730313973812,43,0.46511627906976744,3.7662273171458214,20.82501663339987,"ST(ATR7/x2.0)+MACD(12,21,9)/V1.0"
14,2.0,12,21,9,0.0,4.748173828683941,19.38360245122316,61.67907895458836,-0.15457146020676615,125.40220830736948,54,0.42592592592592593,1.8340963110725879,26.646706586826348,"ST(ATR14/x2.0)+MACD(12,21,9)/V0.0"
14,1.5,8,26,9,1.0,4.730092211327756,6.383277632775712,14.551104149523816,-0.0975541871064256,65.43314871571786,40,0.4,0.8039516380273936,14.67065868263473,"ST(ATR14/x1.5)+MACD(8,26,9)/V1.0"
10,2.0,12,21,9,0.0,4.7221718708511915,20.32994983059509,65.70756486227134,-0.18349128058208977,110.7951820168367,58,0.41379310344827586,1.5467928989886133,28.642714570858285,"ST(ATR10/x2.0)+MACD(12,21,9)/V0.0"
14,1.5,12,21,7,1.0,4.718852308511206,6.339885072555247,14.425791243252755,-0.0975541871064256,64.98834402298718,39,0.41025641025641024,0.8724171833932931,14.67065868263473,"ST(ATR14/x1.5)+MACD(12,21,7)/V1.0"
